game,installations,rating,reviews,in_app_purchases_min,in_app_purchases_max,game1,installations1,rating1,reviews1,in_app_purchases_min1,in_app_purchases_max1,game2,installations2,rating2,reviews2,in_app_purchases_min2,in_app_purchases_max2,game3,installations3,rating3,reviews3,in_app_purchases_min3,in_app_purchases_max3,game_game,game_fin,installations_fin,rating_fin,reviews_fin,in_app_purchases_min_fin,in_app_purchases_max_fin,game4,installations4,rating4,reviews4,in_app_purchases_min4,in_app_purchases_max4
Jetpack Joyride,100000000,4.3595576,8894.0,0.79,99.99,Jetpack Joyride,100000000.0,4.3595576,8894.0,0.79,99.99,Jetpack Joyride,100000000.0,4.3595576,8894.0,0.79,99.99,Jetpack Joyride,100000000.0,4.3595576,8894.0,0.79,99.99,Jetpack Joyride,Jetpack Joyride,100000000,4,8894,0.79,99.99,Jetpack Joyride,100000000.0,4.3595576,8894.0,0.79,99.99
0,None,0.0,0.0,0.0,0.0,Run & Gun: BANDITOS,1000000.0,3.7826087,10.0,0.99,13.99,Run & Gun: BANDITOS,1000000.0,3.7826087,10.0,0.99,13.99,0,,0.0,0.0,0.0,0.0,[],Run & Gun: BANDITOS,1000000.0,3,10,0.99,13.99,Run & Gun: BANDITOS,1000000.0,3.7826087,10.0,0.99,13.99
0,None,0.0,0.0,0.0,0.0,Angry Birds 2,100000000.0,4.2270517,11257.0,0.99,109.99,Angry Birds 2,100000000.0,4.2270517,11257.0,0.99,109.99,0,,0.0,0.0,0.0,0.0,[],Angry Birds 2,100000000.0,4,11257,0.99,109.99,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Where's My Water? 2,100000000.0,4.266892,3242.0,1.09,18.99,[],Where's My Water? 2,0,4,3242,1.09,18.99,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Dumb Ways to Die,50000000.0,3.8450294,1670.0,0.89,32.99,[],Dumb Ways to Die,0,3,1670,0.89,32.99,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Cut the Rope 2,100000000.0,4.455187,2454.0,0.89,44.49,Cut the Rope 2,100000000.0,4.455187,2454.0,0.89,44.49,[],Cut the Rope 2,0,4,2454,0.89,44.49,Cut the Rope 2,100000000.0,4.455187,2454.0,0.89,44.49
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Cut the Rope: Experiments,50000000.0,4.1963634,623.0,0.86,29.99,0,,0.0,0.0,0.0,0.0,[],Cut the Rope: Experiments,0,4,623,0.86,29.99,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,Monster Dash,10000000.0,4.181818,568.0,0.99,22.99,Monster Dash,10000000.0,4.181818,568.0,0.99,22.99,0,,0.0,0.0,0.0,0.0,[],Monster Dash,10000000.0,4,568,0.99,22.99,Monster Dash,10000000.0,4.181818,568.0,0.99,22.99
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Ramboat 2- Offline Action Game,5000000.0,4.491803,19.0,4.19,54.99,[],Ramboat 2- Offline Action Game,0,4,19,4.19,54.99,Ramboat 2- Offline Action Game,5000000.0,4.491803,19.0,4.19,54.99
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Flying Gorilla,1000000.0,4.920792,334.0,2.99,0.0,[],Flying Gorilla,0,4,334,2.99,2.99,0,,0.0,0.0,0.0,0.0
Swamp Attack,100000000,4.453358,1187.0,0.99,99.99,Swamp Attack,100000000.0,4.453358,1187.0,0.99,99.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Swamp Attack,Swamp Attack,100000000,4,1187,0.99,99.99,Swamp Attack,100000000.0,4.453358,1187.0,0.99,99.99
Cut the Rope,100000000,4.357045,4875.0,0.5,130.83,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Cut the Rope,Cut the Rope,100000000,4,4875,0.5,130.83,0,,0.0,0.0,0.0,0.0
Q*bert - Classic Arcade Game,1000000,4.34,123.0,3.09,20.99,Q*bert - Classic Arcade Game,1000000.0,4.34,123.0,3.09,20.99,Q*bert - Classic Arcade Game,1000000.0,4.34,123.0,3.09,20.99,Q*bert - Classic Arcade Game,1000000.0,4.34,123.0,3.09,20.99,Q*bert - Classic Arcade Game,Q*bert - Classic Arcade Game,1000000,4,123,3.09,20.99,0,,0.0,0.0,0.0,0.0
Doodle Jump,50000000,4.316198,2118.0,0.99,11.41,Doodle Jump,50000000.0,4.316198,2118.0,0.99,11.41,Doodle Jump,50000000.0,4.316198,2118.0,0.99,11.41,0,,0.0,0.0,0.0,0.0,Doodle Jump,Doodle Jump,50000000,4,2118,0.99,11.41,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Catapult King,10000000.0,4.3359375,380.0,0.59,59.99,Catapult King,10000000.0,4.3359375,380.0,0.59,59.99,[],Catapult King,0,4,380,0.59,59.99,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,The Simpsons™:  Tapped Out,100000000.0,4.1716332,11021.0,0.99,99.99,The Simpsons™:  Tapped Out,100000000.0,4.1716332,11021.0,0.99,99.99,0,,0.0,0.0,0.0,0.0,[],The Simpsons™:  Tapped Out,100000000.0,4,11021,0.99,99.99,0,,0.0,0.0,0.0,0.0
Food Gang,5000000,3.98,141.0,1.99,99.99,Food Gang,5000000.0,3.98,141.0,1.99,99.99,Food Gang,5000000.0,3.98,141.0,1.99,99.99,0,,0.0,0.0,0.0,0.0,Food Gang,Food Gang,5000000,3,141,1.99,99.99,0,,0.0,0.0,0.0,0.0
Minion Rush: Running Game,500000000,4.240318,16986.0,0.49,99.99,Minion Rush: Running Game,500000000.0,4.240318,16986.0,0.49,99.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Minion Rush: Running Game,Minion Rush: Running Game,500000000,4,16986,0.49,99.99,Minion Rush: Running Game,500000000.0,4.240318,16986.0,0.49,99.99
