game,installations,rating,reviews,in_app_purchases,in_app_purchases_max
Jetpack Joyride,100000000,4.3595576,8894,0.79,99.99
Run & Gun: BANDITOS,1000000,3.7826087,10.0,0.99,13.99
Angry Birds 2,100000000,4.2270517,11257.0,0.99,109.99
[],,,,,
[],,,,,
Cut the Rope 2,100000000,4.455187,2454.0,0.89,44.49
Cut the Rope: Experiments,50000000,4.1963634,623.0,0.86,29.99
Monster Dash,10000000,4.181818,568.0,0.99,22.99
[],,,,,
[],,,,,
[],,,,,
[],,,,,
Q*bert - Classic Arcade Game,1000000,4.34,123.0,3.09,20.99
Doodle Jump,50000000,4.316198,2118.0,0.99,11.41
Catapult King,10000000,4.3359375,380.0,0.59,59.99
The Simpsons™:  Tapped Out,100000000,4.1716332,11021.0,0.99,99.99
Food Gang,5000000,3.98,141.0,1.99,99.99
[],,,,,
[],,,,,
[],,,,,
[],,,,,
[],,,,,
[],,,,,
Dig Out! Gold Digger Adventure,5000000,4.1960783,108.0,0.99,109.99
"Agent Dash - Run Fast, Dodge Quick!",10000000,4.4661655,547.0,0.99,59.99
Magic Brick Wars - Epic Card Battles,500000,3.2564104,16.0,0.99,99.99
[],,,,,
Stack,50000000,3.5273972,1425.0,2.0,
One Gun: Stickman,5000000,4.35,133.0,0.59,29.99
[],,,,,
[],,,,,
[],,,,,
[],,,,,
[],,,,,
Ski Safari 2,10000000,4.43,204.0,0.89,8.99
[],,,,,
[],,,,,
Ramboat - Offline Action Game,10000000,4.38,112.0,2.49,59.99
[],,,,,
[],,,,,
Hotel Transylvania Adventures,10000000,4.31,281.0,1.69,54.99
Slash & Girl - Endless Run,5000000,4.28,48.0,0.99,249.99
[],,,,,
[],,,,,
[],,,,,
[],,,,,
[],,,,,
[],,,,,
Jetpack VS. Colors,500000,3.75,4.0,1.6,
[],,,,,
[],,,,,
[],,,,,
Zombies Ranch. Zombie shooting,1000000,4.0526314,10.0,0.69,42.99
[],,,,,
[],,,,,
[],,,,,
Lep's World 3,50000000,4.455357,1976.0,0.5,99.99
Lumberwhack: Defend the Wild,1000000,4.0735292,16.0,0.99,109.99
[],,,,,
[],,,,,
[],,,,,
[],,,,,
[],,,,,
Okay?,5000000,4.6132073,2134.0,1.0,10.0
[],,,,,
Flippy Knife,10000000,4.0236793,2647.0,0.99,64.99
[],,,,,
Fin Ancient Mystery platformer,5000000,4.6625,38.0,1.09,15.99
Magic Rampage,10000000,4.48,205.0,1.9,21.9
[],,,,,
Age of Apes,1000000,4.504673,217.0,1.19,114.99
[],,,,,
[],,,,,
Boulder Dash® 30th Anniversary,100000,4.3,41.0,0.73,109.99
Hyperforma,1000000,4.64,56.0,0.69,4.99
Ice Age Adventures,50000000,4.0146523,1486.0,0.99,99.99
[],,,,,
Om Nom: Run,10000000,3.950495,90.0,0.99,29.99
[],,,,,
[],,,,,
Catapult Quest,10000000,4.14,261.0,2.99,99.99
Banana Kong,100000000,4.4959807,3483.0,0.89,26.99
Pineapple Pen,10000000,3.954717,1289.0,0.99,1.99
[],,,,,
Sonic Forces - Running Battle,50000000,4.326425,1737.0,0.99,149.99
Run Sausage Run!,100000000,3.8674033,911.0,0.8,8.0
Tank 1990: Stars Battle Defense War Ace Hero,5000000,4.3333335,13.0,0.59,49.99
[],,,,,
Best Fiends - Match 3 Puzzles,50000000,4.5510564,3894.0,0.99,99.99
Infinity Loop: Calm & Relaxing,10000000,4.4958677,1117.0,0.85,23.99
Time Surfer,500000,4.233333,22.0,0.5,7.76
[],,,,,
[],,,,,
[],,,,,
Phantom of Opera,500000,4.7272725,9.0,0.89,27.99
[],,,,,
Soul Knight,50000000,4.416185,783.0,0.99,4.89
Clusterduck,1000000,4.4158416,143.0,0.99,2.09
Poweramp Full Version Unlocker,5000000,4.12,428.0,,
Troll Face Quest: TV Shows,10000000,4.49,393.0,2.39,3.59
[],,,,,
[],,,,,
[],,,,,
Trivia Crack 2,10000000,4.029703,1100.0,1.09,109.99
[],,,,,
[],,,,,
Swordigo,10000000,4.526549,524.0,1.79,2.39
Sling Kong,10000000,4.4083695,3473.0,0.99,19.99
[],,,,,
[],,,,,
Angry Birds Journey,5000000,4.4666667,126.0,0.99,99.99
[],,,,,
[],,,,,
Diamond Quest: Don't Rush!,10000000,4.372549,108.0,1.09,109.99
Disneyland® Paris,1000000,3.5263157,435.0,,
Benji Bananas Adventures,10000000,4.346847,1024.0,0.89,
[],,,,,
Walk Master,10000000,4.31,166.0,0.99,4.99
Looney Tunes™ World of Mayhem,10000000,4.3168316,850.0,0.79,323.79
[],,,,,
Linedoku - Logic Puzzle Games,5000000,4.28,107.0,1.19,23.99
Boom Slingers,1000000,4.04,168.0,1.29,23.99
[],,,,,
[],,,,,
[],,,,,
[],,,,,
[],,,,,
Candies 'n Curses,1000000,4.5148516,49.0,2.19,21.99
Knife Hit,100000000,4.147321,2113.0,2.09,19.99
Super Machino go: world adventure game,10000000,4.2,21.0,1.09,21.99
Cookies Must Die,1000000,4.340206,34.0,1.39,69.99
[],,,,,
[],,,,,
"MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing",10000000,3.71,233.0,0.99,99.99
Mega Shooter: Infinity Space War (Galaxy Heroes),1000000,4.2222223,5.0,1.99,39.99
Antarctica 88: Scary Action Adventure Horror Game,5000000,4.3,84.0,0.59,8.99
[],,,,,
