game4,installations4,rating4,reviews4,in_app_purchases_min4,in_app_purchases_max4
Jetpack Joyride,100000000,4.3595576,8894,0.79,99.99
Run & Gun: BANDITOS,1000000,3.7826087,10.0,0.99,13.99
[],,,,,
[],,,,,
[],,,,,
Cut the Rope 2,100000000,4.455187,2454.0,0.89,44.49
[],,,,,
Monster Dash,10000000,4.181818,568.0,0.99,22.99
Ramboat 2- Offline Action Game,5000000,4.491803,19.0,4.19,54.99
[],,,,,
Swamp Attack,100000000,4.453358,1187.0,0.99,99.99
[],,,,,
[],,,,,
[],,,,,
[],,,,,
[],,,,,
[],,,,,
Minion Rush: Running Game,500000000,4.240318,16986.0,0.49,99.99
Rail Rush,50000000,4.395349,925.0,1.99,79.99
Burrito Bison: Launcha Libre,10000000,4.75625,1208.0,1.09,32.99
Pinatamasters,10000000,3.97166,1262.0,2.29,109.99
Super Jungle Jump,1000000,4.142857,4.0,0.99,104.99
Golden Axe Classics,1000000,4.2619047,14.0,1.99,4.99
[],,,,,
"Agent Dash - Run Fast, Dodge Quick!",10000000,4.4661655,547.0,0.99,59.99
Magic Brick Wars - Epic Card Battles,500000,3.2564104,16.0,0.99,99.99
Lemmings,5000000,4.2617645,1303.0,0.89,89.99
[],,,,,
[],,,,,
[],,,,,
Crossy Road,100000000,4.4107823,18999.0,0.69,30.99
ZigZag,50000000,3.964048,2272.0,1.99,
Tap Tap Dash,50000000,4.0612245,1856.0,0.99,4.99
Metal Soldiers 2,50000000,4.21,148.0,0.59,24.99
[],,,,,
[],,,,,
Tower Conquest: Tower Defense,10000000,4.267327,192.0,2.09,219.99
Ramboat - Offline Action Game,10000000,4.38,112.0,2.49,59.99
[],,,,,
[],,,,,
[],,,,,
Slash & Girl - Endless Run,5000000,4.28,48.0,0.99,249.99
[],,,,,
[],,,,,
[],,,,,
Ninja Dash Run - Offline Games,10000000,4.23,121.0,1.99,79.99
PAC-MAN,100000000,3.5714285,1201.0,0.99,99.99
[],,,,,
[],,,,,
Benji Bananas,50000000,4.3482413,7048.0,0.89,89.99
[],,,,,
[],,,,,
Zombies Ranch. Zombie shooting,1000000,4.0526314,10.0,0.69,42.99
[],,,,,
Fruit Ninja®,500000000,4.1587577,6485.0,1.09,184.99
South Park: Phone Destroyer™,10000000,4.4359927,2198.0,0.89,54.99
[],,,,,
